=== RELATÓRIO DE SIMULAÇÃO ===
Tempo Total Configurado: 30
Probabilidade: 20%
------------------------------------------------------------
[Tempo 0] [INFO] Início da simulação. Processo Principal carregado. | Contexto: 0
[Tempo 0] [EXECUCAO] Processo Principal em execução (CPU Ocupada). | Contexto: 1
[Tempo 1] [EXECUCAO] Processo Principal em execução (CPU Ocupada). | Contexto: 2
[Tempo 2] [EXECUCAO] Processo Principal em execução (CPU Ocupada). | Contexto: 3
[Tempo 3] [EXECUCAO] Processo Principal em execução (CPU Ocupada). | Contexto: 4
[Tempo 4] [EXECUCAO] Processo Principal em execução (CPU Ocupada). | Contexto: 5
[Tempo 5] [EXECUCAO] Processo Principal em execução (CPU Ocupada). | Contexto: 6
[Tempo 6] [EXECUCAO] Processo Principal em execução (CPU Ocupada). | Contexto: 7
[Tempo 7] [EXECUCAO] Processo Principal em execução (CPU Ocupada). | Contexto: 8
[Tempo 8] [EXECUCAO] Processo Principal em execução (CPU Ocupada). | Contexto: 9
[Tempo 9] [INTERRUPCAO] Interrupção recebida (Teclado - Prio: Alta). Salvando contexto... | Contexto: 9
[Tempo 10] [TRATAMENTO] Tratando requisição do Teclado (Duração: 2 ciclos)... | Contexto: Sistema Operacional
[Tempo 11] [RETORNO] Interrupção finalizada. Restaurando contexto (PC=9). | Contexto: 9
[Tempo 11] [INTERRUPCAO] Interrupção recebida (Disco - Prio: Baixa). Salvando contexto... | Contexto: 9
[Tempo 12] [TRATAMENTO] Tratando requisição do Disco (Duração: 5 ciclos)... | Contexto: Sistema Operacional
[Tempo 16] [RETORNO] Interrupção finalizada. Restaurando contexto (PC=9). | Contexto: 9
[Tempo 16] [INTERRUPCAO] Interrupção recebida (Impressora - Prio: Média). Salvando contexto... | Contexto: 9
[Tempo 17] [TRATAMENTO] Tratando requisição do Impressora (Duração: 4 ciclos)... | Contexto: Sistema Operacional
[Tempo 20] [RETORNO] Interrupção finalizada. Restaurando contexto (PC=9). | Contexto: 9
[Tempo 20] [INTERRUPCAO] Interrupção recebida (Disco - Prio: Baixa). Salvando contexto... | Contexto: 9
[Tempo 21] [TRATAMENTO] Tratando requisição do Disco (Duração: 5 ciclos)... | Contexto: Sistema Operacional
[Tempo 25] [RETORNO] Interrupção finalizada. Restaurando contexto (PC=9). | Contexto: 9
[Tempo 25] [EXECUCAO] Processo Principal em execução (CPU Ocupada). | Contexto: 10
[Tempo 26] [EXECUCAO] Processo Principal em execução (CPU Ocupada). | Contexto: 11
[Tempo 27] [INTERRUPCAO] Interrupção recebida (Teclado - Prio: Alta). Salvando contexto... | Contexto: 11
[Tempo 28] [TRATAMENTO] Tratando requisição do Teclado (Duração: 2 ciclos)... | Contexto: Sistema Operacional
[Tempo 29] [RETORNO] Interrupção finalizada. Restaurando contexto (PC=11). | Contexto: 11
[Tempo 29] [INTERRUPCAO] Interrupção recebida (Teclado - Prio: Alta). Salvando contexto... | Contexto: 11
[Tempo 30] [TRATAMENTO] Tratando requisição do Teclado (Duração: 2 ciclos)... | Contexto: Sistema Operacional
[Tempo 31] [RETORNO] Interrupção finalizada. Restaurando contexto (PC=11). | Contexto: 11
[Tempo 31] [FIM] Tempo limite atingido. Simulação encerrada. | Contexto: 11
